source,lat1,lon1,dest,lat2,lon2
SYX,18.30290031,109.4120026,CTU,30.57850075,103.9469986
SYX,18.30290031,109.4120026,KWE,26.53849983,106.8010025
SYX,18.30290031,109.4120026,KWL,25.21809959,110.0390015
SYX,18.30290031,109.4120026,MIG,31.42810059,104.7409973
SYX,18.30290031,109.4120026,NGB,29.82670021,121.461998
SYX,18.30290031,109.4120026,NKG,31.74200058,118.8619995
SYX,18.30290031,109.4120026,TNA,36.85720062,117.2160034
SYX,18.30290031,109.4120026,WNZ,27.912201,120.851997
SYX,18.30290031,109.4120026,YBP,28.80055556,104.545
SZX,22.63929939,113.810997,CKG,29.71920013,106.6419983
SZX,22.63929939,113.810997,CTU,30.57850075,103.9469986
SZX,22.63929939,113.810997,WXN,30.8017,108.433
TAO,36.26610184,120.3740005,CTU,30.57850075,103.9469986
TAO,36.26610184,120.3740005,KMG,25.1019444,102.9291667
TNA,36.85720062,117.2160034,CGQ,43.99620056,125.6849976
TNA,36.85720062,117.2160034,CKG,29.71920013,106.6419983
TNA,36.85720062,117.2160034,CTU,30.57850075,103.9469986
TNA,36.85720062,117.2160034,DLC,38.96569824,121.5390015
TNA,36.85720062,117.2160034,HRB,45.62340164,126.25
TNA,36.85720062,117.2160034,KMG,25.1019444,102.9291667
TNA,36.85720062,117.2160034,SYX,18.30290031,109.4120026
TNA,36.85720062,117.2160034,XIY,34.447102,108.751999
TSN,39.12440109,117.3460007,CGQ,43.99620056,125.6849976
TSN,39.12440109,117.3460007,CKG,29.71920013,106.6419983
TSN,39.12440109,117.3460007,CTU,30.57850075,103.9469986
TSN,39.12440109,117.3460007,HGH,30.22949982,120.4339981
TSN,39.12440109,117.3460007,HRB,45.62340164,126.25
TSN,39.12440109,117.3460007,LHW,36.51520157,103.6200027
TYN,37.74689865,112.6279984,CKG,29.71920013,106.6419983
TYN,37.74689865,112.6279984,CTU,30.57850075,103.9469986
TYN,37.74689865,112.6279984,DAT,40.060299,113.482002
TYN,37.74689865,112.6279984,HGH,30.22949982,120.4339981
TYN,37.74689865,112.6279984,SHE,41.63980103,123.4830017
